student_id,student_name,grade,school_name,reading_score,math_score,school_type,school_budget
98446812,Rebekah Castillo,10,Silva High School,92.0,22.3,Public,991918
83995433,Joseph Knight,9,Turner High School,94.4,58.2,Public,956438
46074883,Kevin Brown,9,Silva High School,80.3,72.4,Public,991918
46568991,John Carey,10,Woods High School,35.7,69.9,Public,912243
47520271,Michelle Diaz,9,Sullivan High School,56.5,88.3,Public,961125
108230905,David Fowler,11,Campbell High School,77.8,55.9,Charter,960726
116795335,Danny Sampson,9,Montgomery High School,69.4,48.3,Charter,893368
77945004,Julia Jones,11,Sullivan High School,92.4,91.5,Public,961125
95665832,Amanda Lambert,10,Odonnell High School,77.5,40.9,Public,959474
124290217,James Taylor,9,Sullivan High School,71.3,69.4,Public,961125
79124179,Timothy Rodriguez,9,Wagner High School,78.1,62.1,Public,846745
76252329,Erin Ortiz,9,Campbell High School,57.1,55.5,Charter,960726
63872628,Janet Kaufman,9,Campos High School,73.0,59.0,Public,957299
97227391,Sara Meyer,10,Woods High School,61.1,76.3,Public,912243
12283514,Gregory Smith,10,Campos High School,53.6,39.8,Public,957299
92843314,Laura Norman,10,Montgomery High School,72.4,76.9,Charter,893368
75613804,Richard Foster,12,Montgomery High School,58.6,54.2,Charter,893368
39243812,Randy Sullivan,11,Bowers High School,95.9,54.6,Public,848324
18735532,April Chambers,10,Green High School,75.8,69.9,Charter,832670
116642844,Michael Whitney,10,Silva High School,80.0,48.5,Public,991918
43230536,Christopher Andrews,12,Woods High School,94.8,35.5,Public,912243
115478462,Clarence Clark,11,Bowers High School,85.1,39.5,Public,848324
25025293,Chad Livingston,11,Odonnell High School,68.0,65.8,Public,959474
105257156,Alyssa Chan,12,Wagner High School,71.5,52.9,Public,846745
124421523,Rebecca Ferguson,10,Green High School,82.5,65.7,Charter,832670
96501623,Jennifer Martinez,11,Odonnell High School,68.3,45.0,Public,959474
94034228,Kyle Jenkins,12,Woods High School,76.5,30.4,Public,912243
19334877,Benjamin Harris,12,Woods High School,78.7,34.9,Public,912243
36295274,Stephanie Beck,11,Odonnell High School,51.1,84.1,Public,959474
40477839,Hayley Cook,9,Woods High School,86.1,69.9,Public,912243
116120379,Melissa Swanson,12,Dixon High School,84.2,54.5,Charter,870334
40428888,Sarah Schwartz,12,Dixon High School,91.6,36.3,Charter,870334
90019399,Deborah Marshall,12,Wagner High School,85.9,57.7,Public,846745
43113983,Jesus Vasquez,10,Montgomery High School,65.1,67.5,Charter,893368
56233685,Randy Forbes Jr.,9,Green High School,70.3,49.2,Charter,832670
92911068,Joshua Martinez,11,Turner High School,85.9,44.6,Public,956438
59785787,Scott Blair,10,Wagner High School,77.0,69.5,Public,846745
54965670,Adam Deleon,9,Green High School,75.9,58.1,Charter,832670
63394779,Kevin Knight,12,Fisher High School,38.1,64.0,Public,817615
48075796,Kathy Yang,12,Odonnell High School,66.4,83.7,Public,959474
81687808,Stephanie Rodriguez,10,Dixon High School,68.9,58.8,Charter,870334
68630001,Erik Phillips,10,Woods High School,62.7,45.0,Public,912243
56930603,Victor Gonzalez,10,Silva High School,77.9,45.1,Public,991918
12734704,Kayla Shields,9,Green High School,76.9,61.5,Charter,832670
56620735,Jill Jimenez,9,Odonnell High School,95.7,56.5,Public,959474
90040164,Keith Hoover,12,Montgomery High School,54.5,86.2,Charter,893368
40304973,Tasha Vasquez,11,Odonnell High School,39.0,83.6,Public,959474
57729237,Tom Bailey,9,Green High School,75.1,57.1,Charter,832670
29094220,Christine Rodriguez,10,Montgomery High School,30.1,16.3,Charter,893368
122818578,Samantha Mccoy,9,Dixon High School,51.9,72.1,Charter,870334
108223860,Chelsea Hernandez,12,Odonnell High School,53.6,77.6,Public,959474
51895374,Julie Burns,10,Campos High School,70.0,61.1,Public,957299
39580274,Susan Gibson,11,Wagner High School,70.1,46.8,Public,846745
126769704,Connie Matthews,9,Montgomery High School,65.3,69.5,Charter,893368
82422622,Madeline Morales,10,Sullivan High School,92.8,73.9,Public,961125
15486059,Jeffrey Gonzales,11,Sullivan High School,52.8,63.6,Public,961125
126101061,Amy Hodges,12,Woods High School,81.0,66.1,Public,912243
106580330,Lindsay Travis,10,Wagner High School,43.3,68.2,Public,846745
126626818,Nicole Barnes,10,Sullivan High School,78.7,62.0,Public,961125
47759068,Christopher Torres,9,Campos High School,40.1,36.0,Public,957299
22284516,Krista Wright,12,Silva High School,78.7,42.2,Public,991918
15813936,Elizabeth Cruz,12,Bowers High School,89.2,62.8,Public,848324
107077619,Jacob Estrada,10,Montgomery High School,73.6,64.5,Charter,893368
70847099,Steven Garza,11,Odonnell High School,59.8,40.3,Public,959474
18362963,Shannon Dixon,10,Turner High School,42.2,79.5,Public,956438
112774143,Brian Brooks,10,Dixon High School,59.7,67.1,Charter,870334
104268434,Virginia Sparks,11,Green High School,85.4,62.3,Charter,832670
118590541,Danielle Bennett,9,Dixon High School,75.7,78.4,Charter,870334
123391997,Sarah Wiley,10,Green High School,74.3,65.1,Charter,832670
97530091,Michael Palmer,9,Woods High School,72.6,51.1,Public,912243
48190752,Jonathan Williams,10,Green High School,70.4,77.0,Charter,832670
126595402,Barbara Clark,9,Dixon High School,59.6,64.7,Charter,870334
14095535,Chad Pratt,10,Wagner High School,60.8,72.4,Public,846745
16683194,Diane Rhodes,9,Sullivan High School,64.6,68.5,Public,961125
44692788,Cynthia Carr,9,Dixon High School,91.1,70.8,Charter,870334
76918032,Linda Carney,12,Montgomery High School,63.7,63.1,Charter,893368
103665795,Katherine Chase,12,Silva High School,65.6,65.5,Public,991918
77520351,Janice Frye,9,Dixon High School,60.1,61.4,Charter,870334
87839964,Caitlin Durham,12,Montgomery High School,64.5,43.2,Charter,893368
104363892,Tracy Bush,9,Chang High School,55.8,62.5,Charter,840132
25501490,Ashley Gordon,11,Bowers High School,90.3,32.2,Public,848324
11561949,William Monroe,12,Bowers High School,63.4,67.7,Public,848324
82075040,Jacob Snyder,12,Bowers High School,79.1,43.8,Public,848324
124838556,Brittany Rivera,10,Silva High School,72.8,54.3,Public,991918
88002004,Shelly Macdonald,12,Montgomery High School,74.6,64.2,Charter,893368
114157111,Danielle Miller,11,Montgomery High School,92.7,81.8,Charter,893368
118331768,Jennifer Gallagher,11,Montgomery High School,55.6,73.8,Charter,893368
77317920,Timothy Kelly,9,Montgomery High School,88.9,76.7,Charter,893368
101122586,Robert Wagner,10,Woods High School,75.7,76.5,Public,912243
118552521,Christopher Delgado,9,Green High School,57.6,68.9,Charter,832670
38161102,Kaitlyn Valdez,10,Odonnell High School,80.5,44.1,Public,959474
26946805,Amy Carter,12,Campos High School,79.0,71.9,Public,957299
94453854,Jacqueline Howard,10,Turner High School,68.4,65.5,Public,956438
106347285,John Watson,10,Wagner High School,83.5,36.7,Public,846745
60071765,Brittany Lowery,9,Woods High School,52.3,95.6,Public,912243
118429395,Marie Villanueva,9,Green High School,82.4,93.3,Charter,832670
76199589,Christopher Henry,11,Montgomery High School,87.5,76.6,Charter,893368
80236496,Franklin Woods,9,Chang High School,91.7,63.1,Charter,840132
10752173,Jesse Miller,12,Bowers High School,92.7,41.4,Public,848324
82039154,Michelle Dunn,9,Silva High School,54.6,76.4,Public,991918
81067431,Sandra Barrett,12,Green High School,56.3,60.0,Charter,832670
45213289,George Harvey,12,Montgomery High School,78.9,54.5,Charter,893368
67509968,Shawn Brennan,9,Montgomery High School,73.2,62.2,Charter,893368
124496464,Andrew Weber,12,Turner High School,71.9,69.2,Public,956438
83765663,Erin Peterson,11,Fisher High School,49.1,59.9,Public,817615
84591975,Sarah King,9,Dixon High School,76.0,73.8,Charter,870334
124722701,Melissa Thompson,12,Fisher High School,68.8,85.9,Public,817615
101115467,Katrina Hale,12,Sullivan High School,97.8,49.0,Public,961125
56251625,Joshua Vaughan,10,Wagner High School,76.5,55.6,Public,846745
25504947,Jordan Davila,11,Bowers High School,85.2,53.8,Public,848324
11319748,Joshua Le,9,Silva High School,59.1,80.4,Public,991918
24025980,Zoe Dunn,10,Campos High School,68.2,42.3,Public,957299
65464584,Jared Townsend,11,Bowers High School,69.8,68.9,Public,848324
75748944,Jeremiah Smith,9,Green High School,55.2,66.1,Charter,832670
46822637,Patricia Vargas,9,Sullivan High School,71.9,27.8,Public,961125
26710853,Luis Lynch,9,Bowers High School,42.0,53.9,Public,848324
42743503,Scott Hernandez,10,Silva High School,83.4,58.9,Public,991918
58107573,Joyce Finley,11,Green High School,74.7,40.9,Charter,832670
10580918,Martha Perez,10,Turner High School,78.3,42.4,Public,956438
110926249,Natasha Lee,11,Dixon High School,70.1,86.8,Charter,870334
88658513,Carmen Jordan,11,Wagner High School,64.9,69.9,Public,846745
44136451,Craig Morgan,9,Odonnell High School,91.7,34.6,Public,959474
17325532,Lorraine Tapia,11,Dixon High School,82.4,66.8,Charter,870334
122896697,Christina Benton,11,Montgomery High School,64.5,77.0,Charter,893368
102718041,Courtney Reyes,9,Silva High School,65.0,78.4,Public,991918
96037317,Sheila Gilbert,12,Woods High School,69.7,48.7,Public,912243
62555001,Michael Allison,10,Turner High School,85.0,68.4,Public,956438
46692508,Travis Smith,10,Dixon High School,49.1,82.1,Charter,870334
80861997,Brenda Mcpherson,9,Green High School,55.8,94.9,Charter,832670
97936378,Christian Cole,9,Woods High School,72.4,65.1,Public,912243
96713990,Robert Young,11,Dixon High School,98.1,70.4,Charter,870334
79707486,Diane Diaz,10,Turner High School,97.3,96.9,Public,956438
128857834,Sarah Garcia,12,Wagner High School,87.2,52.9,Public,846745
52423091,Micheal Page,10,Silva High School,70.2,70.7,Public,991918
92315431,Nathan Manning,10,Green High School,52.1,61.3,Charter,832670
60761839,Anthony Douglas,11,Bowers High School,94.7,33.8,Public,848324
106346684,Cheryl Rogers,9,Woods High School,69.4,81.0,Public,912243
92230833,Joseph Hansen,12,Fisher High School,56.3,77.9,Public,817615
15117674,Natalie Carey,9,Dixon High School,39.8,70.1,Charter,870334
109976828,Michele Dixon,11,Chang High School,52.9,50.5,Charter,840132
59590804,Jessica Hicks,9,Dixon High School,86.4,76.7,Charter,870334
85224681,Joe Salinas,12,Bowers High School,77.8,43.8,Public,848324
26534770,Max Snow,9,Fisher High School,78.8,95.3,Public,817615
16975899,Jonathan Ross,10,Fisher High School,85.8,49.6,Public,817615
27435784,Timothy Carroll,11,Montgomery High School,74.4,59.2,Charter,893368
48525000,Nicole Ferguson,9,Woods High School,92.4,52.7,Public,912243
69885444,Melissa Anderson,11,Odonnell High School,50.2,68.7,Public,959474
42210667,Stephanie Walker,10,Richard High School,89.0,47.2,Charter,889699
119556050,Christian James,9,Bowers High School,46.0,76.7,Public,848324
29205747,Nathaniel Harmon,10,Woods High School,62.3,60.9,Public,912243
86411121,Teresa Boyd,10,Turner High School,64.9,64.5,Public,956438
50021770,Kayla Zimmerman,10,Woods High School,64.7,74.4,Public,912243
19664550,Michael Nolan,12,Bowers High School,94.9,74.2,Public,848324
28837297,Nathaniel Campbell,10,Woods High School,74.1,75.1,Public,912243
39319429,Edward Reese,12,Wagner High School,75.1,43.8,Public,846745
111049468,Richard Donovan,9,Wagner High School,56.4,47.3,Public,846745
45337783,Jasmine Powell,10,Dixon High School,49.0,52.6,Charter,870334
61416769,Gary Lyons,10,Turner High School,51.5,46.1,Public,956438
18977125,Kelli Johnson,9,Dixon High School,81.8,89.3,Charter,870334
56771493,Mark Hall,12,Bowers High School,90.1,47.9,Public,848324
87107285,Adam Coleman,9,Sullivan High School,96.7,59.8,Public,961125
122203620,Lauren Lopez,9,Wagner High School,88.7,80.8,Public,846745
15565776,Joseph Davis,11,Bowers High School,83.7,46.9,Public,848324
79011305,Shannon Underwood,10,Richard High School,89.9,60.4,Charter,889699
110077952,Thomas Norman,11,Turner High School,64.2,44.8,Public,956438
120107537,Michael Lara,10,Campos High School,80.8,66.5,Public,957299
45224003,Rhonda Smith,10,Woods High School,76.3,83.0,Public,912243
36861187,Kathryn Williams,11,Bowers High School,74.4,58.7,Public,848324
88084103,Benjamin Andersen,12,Bowers High School,81.3,68.7,Public,848324
113490811,Donald Wright,12,Chang High School,59.8,78.8,Charter,840132
115953673,Scott Downs,9,Dixon High School,62.3,48.7,Charter,870334
101791137,Christine Green,9,Silva High School,48.8,99.1,Public,991918
79160926,Charles Hill,11,Dixon High School,93.8,71.2,Charter,870334
98032857,David Green,10,Montgomery High School,76.6,34.5,Charter,893368
52488832,Donald Reyes,9,Turner High School,89.7,71.8,Public,956438
83238268,Jimmy Myers,9,Woods High School,59.6,70.8,Public,912243
69850806,Melanie Pratt,10,Green High School,78.0,78.1,Charter,832670
84545620,David Reynolds,11,Montgomery High School,84.7,70.7,Charter,893368
98312593,Juan Shepard,10,Wagner High School,88.7,92.2,Public,846745
33099363,Patrick Mathews,12,Dixon High School,93.5,60.9,Charter,870334
113800061,Ana Morgan,10,Campos High School,73.6,58.0,Public,957299
13843461,Becky Pittman,9,Wagner High School,98.1,76.7,Public,846745
83920233,Jacob Johnson,10,Woods High School,47.2,53.9,Public,912243
28281597,Alexander Conley,9,Woods High School,80.0,66.5,Public,912243
56097397,Geoffrey Ray,10,Montgomery High School,95.2,13.9,Charter,893368
25773396,Danielle Martin,12,Chang High School,52.2,58.6,Charter,840132
49809987,Joshua Ruiz,12,Woods High School,99.2,74.6,Public,912243
47156962,Regina Casey,10,Campbell High School,94.4,72.2,Charter,960726
98475621,Karen Freeman,9,Montgomery High School,90.8,96.7,Charter,893368
86278432,Robert Rodriguez,12,Odonnell High School,74.7,71.7,Public,959474
77271163,Karen Mills,9,Odonnell High School,91.2,55.0,Public,959474
66556705,Christine Villegas,10,Silva High School,91.3,78.2,Public,991918
42271046,Alice Collins,9,Green High School,65.4,62.9,Charter,832670
89722794,Thomas Scott,10,Turner High School,67.0,55.2,Public,956438
41177552,Mark Moore,9,Green High School,45.6,56.5,Charter,832670
111324756,Kenneth Chan,11,Fisher High School,38.9,50.1,Public,817615
100074703,Travis Thompson,9,Richard High School,60.5,41.2,Charter,889699
107556703,Joel Ramos,9,Green High School,74.9,68.9,Charter,832670
32954195,Michael Simon,9,Montgomery High School,55.1,80.8,Charter,893368
107149851,Diane Simmons,9,Woods High School,74.2,80.9,Public,912243
82745309,Lynn Dean,12,Wagner High School,95.3,41.5,Public,846745
54938089,Kelly Carroll,11,Dixon High School,87.8,79.4,Charter,870334
122104033,Dawn Ramirez,10,Richard High School,81.8,75.3,Charter,889699
56613205,Jackie Olson,10,Woods High School,64.4,47.4,Public,912243
122770632,Joshua Potter,12,Silva High School,65.7,66.7,Public,991918
105999346,Brittany Griffin,10,Richard High School,56.2,66.2,Charter,889699
35191036,Kayla Sullivan,10,Dixon High School,50.2,63.0,Charter,870334
16132522,Mary Pearson,10,Richard High School,61.9,69.1,Charter,889699
70835797,Rebecca Gregory,9,Dixon High School,85.1,74.2,Charter,870334
89079939,Daniel Petersen,12,Woods High School,86.0,45.9,Public,912243
57124191,Benjamin Flores,10,Turner High School,91.0,87.8,Public,956438
63166839,Daniel White,12,Montgomery High School,65.1,55.1,Charter,893368
121963466,Shannon Raymond,9,Silva High School,66.0,72.1,Public,991918
51190723,Marc Shepherd,12,Wagner High School,99.1,61.8,Public,846745
87024177,Jessica Howard,11,Richard High School,60.9,79.0,Charter,889699
43700668,William Gibson,12,Woods High School,82.1,50.7,Public,912243
13214362,Matthew Salazar,12,Campbell High School,51.4,87.8,Charter,960726
98510311,William Holloway,10,Dixon High School,39.4,65.0,Charter,870334
33766379,Patrick Terry,12,Green High School,65.9,42.6,Charter,832670
47848584,Brett Mckinney,11,Montgomery High School,65.2,93.1,Charter,893368
107731324,Abigail Johnson,9,Dixon High School,93.3,71.3,Charter,870334
84083849,Theresa Vargas,10,Turner High School,84.5,61.8,Public,956438
70055836,Brandon Moore,12,Montgomery High School,53.2,39.4,Charter,893368
19643050,Robert Molina,9,Montgomery High School,78.7,84.6,Charter,893368
119241501,James Torres,9,Dixon High School,92.2,69.3,Charter,870334
77920799,Carmen Lowe,9,Green High School,69.7,16.7,Charter,832670
104173749,Joseph Gonzalez,12,Dixon High School,93.7,44.1,Charter,870334
119248986,Donald Flynn,12,Odonnell High School,69.5,58.2,Public,959474
14513842,Tanya West,12,Montgomery High School,50.9,47.7,Charter,893368
64314952,Bethany Jones,9,Sullivan High School,29.7,64.4,Public,961125
75374428,Steven Stanley,11,Bowers High School,85.8,63.6,Public,848324
103608600,Sherry Miller,9,Fisher High School,76.4,74.3,Public,817615
88330190,Tyler Mcdonald,9,Sullivan High School,67.0,77.7,Public,961125
109585730,Dawn Flores,12,Fisher High School,50.6,71.3,Public,817615
48848910,Emily Jackson,10,Montgomery High School,69.5,34.3,Charter,893368
40456407,Megan Barber,11,Fisher High School,53.3,60.7,Public,817615
91266976,Tyler Morales,10,Campbell High School,77.1,75.0,Charter,960726
127469553,Chelsea Williams,11,Dixon High School,91.5,76.9,Charter,870334
77658472,Taylor Martin,9,Green High School,79.0,71.2,Charter,832670
33767530,Wendy Barnett,12,Woods High School,64.1,75.7,Public,912243
72016569,Mark Smith,12,Montgomery High School,54.3,60.3,Charter,893368
29310690,Donna Johnson,12,Silva High School,72.0,61.6,Public,991918
44364320,Brandi Hart,10,Wagner High School,55.1,83.7,Public,846745
41374106,James Carter,9,Green High School,77.2,66.5,Charter,832670
77691727,Samantha Williams,9,Campos High School,81.9,77.0,Public,957299
93424651,Christopher Morrow,10,Dixon High School,58.8,55.7,Charter,870334
100510296,Kelly King,9,Dixon High School,62.0,74.8,Charter,870334
78112852,Kimberly Richardson,11,Green High School,73.5,55.8,Charter,832670
122363353,Joseph Huffman,9,Green High School,47.6,60.1,Charter,832670
64450670,Joshua Wheeler,11,Montgomery High School,71.3,52.5,Charter,893368
46326722,Michelle Thompson,10,Wagner High School,99.2,66.1,Public,846745
110562496,Gerald Kelly,12,Green High School,97.9,60.9,Charter,832670
28702843,Aaron Poole,11,Montgomery High School,73.4,63.4,Charter,893368
105647009,David Krueger,10,Fisher High School,86.5,58.4,Public,817615
93705422,Stacey Palmer,11,Montgomery High School,91.3,82.7,Charter,893368
44171555,Jessica Obrien,10,Silva High School,69.6,67.4,Public,991918
45915244,Richard Cameron,9,Sullivan High School,99.4,63.7,Public,961125
45495706,Sherry Anderson,10,Fisher High School,65.3,76.8,Public,817615
24818621,Cory Murphy,10,Silva High School,95.0,37.6,Public,991918
106027657,Grace Smith,12,Wagner High School,60.3,58.6,Public,846745
71639471,Cassandra Andrews,11,Odonnell High School,70.1,72.5,Public,959474
52301430,Luke Richards,9,Woods High School,73.0,60.4,Public,912243
114320427,Richard Garcia,9,Campos High School,67.3,5.3,Public,957299
72654222,Angel Joyce,11,Dixon High School,89.2,90.0,Charter,870334
65098691,Daniel Morgan,9,Woods High School,79.5,57.7,Public,912243
60361543,Douglas Blevins,10,Woods High School,50.1,66.4,Public,912243
120317783,Shari Carr,10,Dixon High School,64.9,61.7,Charter,870334
11860349,Heather Crawford,9,Campos High School,63.8,60.5,Public,957299
33227436,Anthony Taylor,12,Sullivan High School,94.1,50.5,Public,961125
86858580,John George,11,Richard High School,56.0,66.3,Charter,889699
67388422,Michelle Brown,11,Bowers High School,98.7,44.8,Public,848324
91612083,Amy Leach,11,Odonnell High School,88.7,79.9,Public,959474
50323562,Sara Brown,11,Bowers High School,83.7,63.9,Public,848324
43007675,Kimberly Thomas,10,Green High School,70.0,57.0,Charter,832670
88614887,Kevin George,11,Green High School,88.2,34.7,Charter,832670
12313811,Gregory Gallagher,12,Sullivan High School,95.4,49.6,Public,961125
102537222,Mitchell Fletcher,9,Montgomery High School,48.2,73.5,Charter,893368
123312112,John Owens,10,Dixon High School,82.8,67.4,Charter,870334
35412579,Trevor Jones,9,Woods High School,47.2,61.4,Public,912243
119093979,Chase Church,12,Richard High School,84.4,54.3,Charter,889699
46158628,Robin Brooks,9,Silva High School,85.5,53.9,Public,991918
